year,district_en,crop_group,area_ha,source
2012,Bulandy,grain,221140,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Буландынский
2013,Bulandy,grain,213054,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Буландынский
2014,Bulandy,grain,191738,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Буландынский
2015,Bulandy,grain,191066,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Буландынский
2016,Bulandy,grain,199405,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Буландынский
2017,Bulandy,grain,201286,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Буландынский
2018,Bulandy,grain,205822,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Буландынский
2019,Bulandy,grain,201159,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Буландынский
2020,Bulandy,grain,200467,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Буландынский
2021,Bulandy,grain,196142,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Буландынский
2022,Bulandy,grain,193100,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Буландынский
2023,Bulandy,grain,211693,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Буландынский
2024,Bulandy,grain,195105,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Буландынский
2025,Bulandy,grain,202921,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Буландынский
2005,Burabay,grain,150148,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Бурабайский
2006,Burabay,grain,147428,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Бурабайский
2007,Burabay,grain,147340,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Бурабайский
2008,Burabay,grain,156139,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Бурабайский
2009,Burabay,grain,167087,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Бурабайский
2010,Burabay,grain,132936,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Бурабайский
2011,Burabay,grain,125635,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Бурабайский
2012,Burabay,grain,131122,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Бурабайский
2013,Burabay,grain,125593,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Бурабайский
2014,Burabay,grain,112675,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Бурабайский
2015,Burabay,grain,111821,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Бурабайский
2016,Burabay,grain,123220,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Бурабайский
2017,Burabay,grain,110875,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Бурабайский
2018,Burabay,grain,101419,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Бурабайский
2019,Burabay,grain,107144,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Бурабайский
2020,Burabay,grain,121636,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Бурабайский
2021,Burabay,grain,126944,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Бурабайский
2022,Burabay,grain,120454,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Бурабайский
2023,Burabay,grain,140502,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Бурабайский
2024,Burabay,grain,125871,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Бурабайский
2025,Burabay,grain,125179,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Бурабайский
2005,Esil,grain,332064,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Есильский
2006,Esil,grain,403831,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Есильский
2007,Esil,grain,421761,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40088 row=Есильский
