year,district_en,crop_group,area_ha,source
2020,Akmola_oblast,oilseeds,213078,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2021,Akmola_oblast,oilseeds,270545,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2022,Akmola_oblast,oilseeds,368811,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2023,Akmola_oblast,oilseeds,197804,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2024,Akmola_oblast,oilseeds,267675,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2025,Akmola_oblast,oilseeds,498610,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2005,Atbasar,oilseeds,1358,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Атбасарский
2006,Atbasar,oilseeds,986,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Атбасарский
2007,Atbasar,oilseeds,1223,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Атбасарский
2008,Atbasar,oilseeds,3324,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Атбасарский
2009,Atbasar,oilseeds,5796,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Атбасарский
2010,Atbasar,oilseeds,11651,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Атбасарский
2011,Atbasar,oilseeds,7315,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Атбасарский
2012,Atbasar,oilseeds,13667,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Атбасарский
2013,Atbasar,oilseeds,24111,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Атбасарский
2014,Atbasar,oilseeds,24620,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Атбасарский
2015,Atbasar,oilseeds,13182,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Атбасарский
2016,Atbasar,oilseeds,16432,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Атбасарский
2017,Atbasar,oilseeds,18588,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Атбасарский
2018,Atbasar,oilseeds,19365,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Атбасарский
2019,Atbasar,oilseeds,19615,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Атбасарский
2020,Atbasar,oilseeds,19844,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Атбасарский
2021,Atbasar,oilseeds,20957,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Атбасарский
2022,Atbasar,oilseeds,22873,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Атбасарский
2023,Atbasar,oilseeds,15649,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Атбасарский
2024,Atbasar,oilseeds,16286,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Атбасарский
2025,Atbasar,oilseeds,36656,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Атбасарский
2006,Bulandy,oilseeds,1033,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Буландынский
2007,Bulandy,oilseeds,1453,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Буландынский
2008,Bulandy,oilseeds,1585,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Буландынский
2009,Bulandy,oilseeds,2610,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Буландынский
2010,Bulandy,oilseeds,5049,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Буландынский
2011,Bulandy,oilseeds,4201,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Буландынский
2012,Bulandy,oilseeds,6118,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Буландынский
2013,Bulandy,oilseeds,11335,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Буландынский
2014,Bulandy,oilseeds,27275,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Буландынский
2015,Bulandy,oilseeds,16451,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Буландынский
2016,Bulandy,oilseeds,16675,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Буландынский
2017,Bulandy,oilseeds,20052,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Буландынский
2018,Bulandy,oilseeds,17249,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Буландынский
2019,Bulandy,oilseeds,23346,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Буландынский
2020,Bulandy,oilseeds,17140,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Буландынский
2021,Bulandy,oilseeds,27586,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Буландынский
2022,Bulandy,oilseeds,42728,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Буландынский
2023,Bulandy,oilseeds,31787,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Буландынский
2024,Bulandy,oilseeds,41123,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Буландынский
2025,Bulandy,oilseeds,44463,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Буландынский
2006,Burabay,oilseeds,5090,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Бурабайский
2007,Burabay,oilseeds,5450,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Бурабайский
2008,Burabay,oilseeds,4528,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Бурабайский
2009,Burabay,oilseeds,4094,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Бурабайский
2010,Burabay,oilseeds,9653,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Бурабайский
2011,Burabay,oilseeds,12758,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Бурабайский
2012,Burabay,oilseeds,25201,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Бурабайский
2013,Burabay,oilseeds,26021,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Бурабайский
2014,Burabay,oilseeds,34778,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Бурабайский
2015,Burabay,oilseeds,33526,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Бурабайский
2016,Burabay,oilseeds,26132,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Бурабайский
2017,Burabay,oilseeds,33373,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Бурабайский
2018,Burabay,oilseeds,43145,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Бурабайский
2019,Burabay,oilseeds,36605,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Бурабайский
2020,Burabay,oilseeds,25070,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Бурабайский
2021,Burabay,oilseeds,36430,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Бурабайский
2022,Burabay,oilseeds,41259,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Бурабайский
2023,Burabay,oilseeds,21418,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Бурабайский
2024,Burabay,oilseeds,27194,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Бурабайский
2025,Burabay,oilseeds,37610,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Бурабайский
2005,Esil,oilseeds,120,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Есильский
2006,Esil,oilseeds,20,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Есильский
2007,Esil,oilseeds,210,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Есильский
2008,Esil,oilseeds,1000,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Есильский
2009,Esil,oilseeds,500,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Есильский
2010,Esil,oilseeds,4533,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Есильский
2011,Esil,oilseeds,26361,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Есильский
2012,Esil,oilseeds,17800,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Есильский
2013,Esil,oilseeds,26213,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Есильский
2014,Esil,oilseeds,34435,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Есильский
2015,Esil,oilseeds,30131,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Есильский
2016,Esil,oilseeds,22569,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Есильский
2017,Esil,oilseeds,23714,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Есильский
2018,Esil,oilseeds,22285,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Есильский
2019,Esil,oilseeds,24045,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Есильский
2020,Esil,oilseeds,18492,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Есильский
2021,Esil,oilseeds,21724,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Есильский
2022,Esil,oilseeds,36254,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Есильский
2023,Esil,oilseeds,21458,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Есильский
2024,Esil,oilseeds,24872,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Есильский
2025,Esil,oilseeds,45788,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Есильский
2005,Kokshetau,oilseeds,4,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=г.а. Кокшетау
2011,Kokshetau,oilseeds,967,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=г.а. Кокшетау
2013,Kokshetau,oilseeds,1037,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=г.а. Кокшетау
2014,Kokshetau,oilseeds,2326,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=г.а. Кокшетау
2015,Kokshetau,oilseeds,912,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=г.а. Кокшетау
2017,Kokshetau,oilseeds,995,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=г.а. Кокшетау
2018,Kokshetau,oilseeds,1014,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=г.а. Кокшетау
2019,Kokshetau,oilseeds,1335,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=г.а. Кокшетау
2020,Kokshetau,oilseeds,1431,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=г.а. Кокшетау
2021,Kokshetau,oilseeds,617,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=г.а. Кокшетау
2022,Kokshetau,oilseeds,1294,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=г.а. Кокшетау
2023,Kokshetau,oilseeds,778,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=г.а. Кокшетау
2024,Kokshetau,oilseeds,539,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=г.а. Кокшетау
2025,Kokshetau,oilseeds,2769,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=г.а. Кокшетау
2005,Sandyktau,oilseeds,289,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Сандыктауский
2006,Sandyktau,oilseeds,5,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Сандыктауский
2008,Sandyktau,oilseeds,200,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Сандыктауский
2009,Sandyktau,oilseeds,500,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Сандыктауский
2010,Sandyktau,oilseeds,2872,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Сандыктауский
2011,Sandyktau,oilseeds,11488,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Сандыктауский
2012,Sandyktau,oilseeds,12187,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Сандыктауский
2013,Sandyktau,oilseeds,14662,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Сандыктауский
2014,Sandyktau,oilseeds,14401,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Сандыктауский
2015,Sandyktau,oilseeds,6860,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Сандыктауский
2016,Sandyktau,oilseeds,12363,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Сандыктауский
2017,Sandyktau,oilseeds,12905,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Сандыктауский
2018,Sandyktau,oilseeds,12928,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Сандыктауский
2019,Sandyktau,oilseeds,11171,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Сандыктауский
2020,Sandyktau,oilseeds,8869,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Сандыктауский
2021,Sandyktau,oilseeds,8498,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Сандыктауский
2022,Sandyktau,oilseeds,16062,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Сандыктауский
2023,Sandyktau,oilseeds,5306,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Сандыктауский
2024,Sandyktau,oilseeds,16006,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Сандыктауский
2025,Sandyktau,oilseeds,42953,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Сандыктауский
2005,Shortandy,oilseeds,12,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Шортандинский
2006,Shortandy,oilseeds,22,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Шортандинский
2007,Shortandy,oilseeds,8,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Шортандинский
2008,Shortandy,oilseeds,1247,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Шортандинский
2009,Shortandy,oilseeds,14,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Шортандинский
2010,Shortandy,oilseeds,13521,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Шортандинский
2011,Shortandy,oilseeds,13529,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Шортандинский
2012,Shortandy,oilseeds,13584,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Шортандинский
2013,Shortandy,oilseeds,12807,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Шортандинский
2014,Shortandy,oilseeds,28538,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Шортандинский
2015,Shortandy,oilseeds,11624,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Шортандинский
2016,Shortandy,oilseeds,5437,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Шортандинский
2017,Shortandy,oilseeds,4651,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Шортандинский
2018,Shortandy,oilseeds,4418,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Шортандинский
2019,Shortandy,oilseeds,3411,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Шортандинский
2020,Shortandy,oilseeds,6558,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Шортандинский
2021,Shortandy,oilseeds,9047,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Шортандинский
2022,Shortandy,oilseeds,14541,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Шортандинский
2023,Shortandy,oilseeds,7752,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Шортандинский
2024,Shortandy,oilseeds,20672,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Шортандинский
2025,Shortandy,oilseeds,39626,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Шортандинский
2005,Tselinograd,oilseeds,717,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Целиноградский
2007,Tselinograd,oilseeds,600,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Целиноградский
2008,Tselinograd,oilseeds,5756,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Целиноградский
2009,Tselinograd,oilseeds,9755,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Целиноградский
2010,Tselinograd,oilseeds,17540,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Целиноградский
2011,Tselinograd,oilseeds,18632,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Целиноградский
2012,Tselinograd,oilseeds,6760,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Целиноградский
2013,Tselinograd,oilseeds,8762,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Целиноградский
2014,Tselinograd,oilseeds,12011,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Целиноградский
2015,Tselinograd,oilseeds,4663,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Целиноградский
2016,Tselinograd,oilseeds,1350,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Целиноградский
2017,Tselinograd,oilseeds,10523,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Целиноградский
2018,Tselinograd,oilseeds,17037,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Целиноградский
2019,Tselinograd,oilseeds,10759,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Целиноградский
2020,Tselinograd,oilseeds,6933,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Целиноградский
2021,Tselinograd,oilseeds,16889,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Целиноградский
2022,Tselinograd,oilseeds,23430,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Целиноградский
2023,Tselinograd,oilseeds,20007,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Целиноградский
2024,Tselinograd,oilseeds,17746,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Целиноградский
2025,Tselinograd,oilseeds,27748,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Целиноградский
2005,Zerenda,oilseeds,2509,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Зерендинский
2006,Zerenda,oilseeds,5772,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Зерендинский
2007,Zerenda,oilseeds,4480,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Зерендинский
2008,Zerenda,oilseeds,3805,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Зерендинский
2009,Zerenda,oilseeds,15570,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Зерендинский
2010,Zerenda,oilseeds,34836,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Зерендинский
2011,Zerenda,oilseeds,30000,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Зерендинский
2012,Zerenda,oilseeds,38373,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Зерендинский
2013,Zerenda,oilseeds,48441,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Зерендинский
2014,Zerenda,oilseeds,70667,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Зерендинский
2015,Zerenda,oilseeds,57431,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Зерендинский
2016,Zerenda,oilseeds,50905,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Зерендинский
2017,Zerenda,oilseeds,53957,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Зерендинский
2018,Zerenda,oilseeds,61234,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Зерендинский
2019,Zerenda,oilseeds,66856,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Зерендинский
2020,Zerenda,oilseeds,54177,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Зерендинский
2021,Zerenda,oilseeds,67779,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Зерендинский
2022,Zerenda,oilseeds,65866,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Зерендинский
2023,Zerenda,oilseeds,28643,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Зерендинский
2024,Zerenda,oilseeds,56233,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Зерендинский
2025,Zerenda,oilseeds,87575,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Зерендинский
2005,Zhaksy,oilseeds,1200,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Жаксынский
2006,Zhaksy,oilseeds,3009,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Жаксынский
2008,Zhaksy,oilseeds,1189,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Жаксынский
2009,Zhaksy,oilseeds,610,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Жаксынский
2010,Zhaksy,oilseeds,685,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Жаксынский
2011,Zhaksy,oilseeds,1756,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Жаксынский
2012,Zhaksy,oilseeds,2229,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Жаксынский
2013,Zhaksy,oilseeds,6190,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Жаксынский
2014,Zhaksy,oilseeds,14018,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Жаксынский
2015,Zhaksy,oilseeds,10923,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Жаксынский
2016,Zhaksy,oilseeds,8468,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Жаксынский
2017,Zhaksy,oilseeds,17445,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Жаксынский
2018,Zhaksy,oilseeds,21242,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Жаксынский
2019,Zhaksy,oilseeds,13913,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Жаксынский
2020,Zhaksy,oilseeds,11155,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Жаксынский
2021,Zhaksy,oilseeds,13780,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Жаксынский
2022,Zhaksy,oilseeds,13082,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Жаксынский
2023,Zhaksy,oilseeds,5255,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Жаксынский
2024,Zhaksy,oilseeds,4328,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Жаксынский
2025,Zhaksy,oilseeds,13931,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Жаксынский
2005,Akmola_oblast,sunflower,10002,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2006,Akmola_oblast,sunflower,13428,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2007,Akmola_oblast,sunflower,5503,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2008,Akmola_oblast,sunflower,17756,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2009,Akmola_oblast,sunflower,22374,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2010,Akmola_oblast,sunflower,54478,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2011,Akmola_oblast,sunflower,74153,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2012,Akmola_oblast,sunflower,54194,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2013,Akmola_oblast,sunflower,81852,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2014,Akmola_oblast,sunflower,59077,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2015,Akmola_oblast,sunflower,29011,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2016,Akmola_oblast,sunflower,30076,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2017,Akmola_oblast,sunflower,57856,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2018,Akmola_oblast,sunflower,29396,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2019,Akmola_oblast,sunflower,25734,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2020,Akmola_oblast,sunflower,21399,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2021,Akmola_oblast,sunflower,43054,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2022,Akmola_oblast,sunflower,52530,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2023,Akmola_oblast,sunflower,62790,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2024,Akmola_oblast,sunflower,91588,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2025,Akmola_oblast,sunflower,136935,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Всего по области
2005,Atbasar,sunflower,1358,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Атбасарский
2006,Atbasar,sunflower,986,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Атбасарский
2007,Atbasar,sunflower,1223,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Атбасарский
2008,Atbasar,sunflower,3186,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Атбасарский
2009,Atbasar,sunflower,5796,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Атбасарский
2010,Atbasar,sunflower,6204,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Атбасарский
2011,Atbasar,sunflower,6112,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Атбасарский
2012,Atbasar,sunflower,12715,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Атбасарский
2013,Atbasar,sunflower,22154,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Атбасарский
2014,Atbasar,sunflower,16729,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Атбасарский
2015,Atbasar,sunflower,8114,BNS stat.gov.kz dynamic-tables akmola/1485 fileId=40090 row=Атбасарский
